Country;Region;DataYear;ClassGrade;Gender;Ageyears;Handed;Height_cm;Footlength_cm;Armspan_cm;Languages_spoken;Travel_to_School;Travel_time_to_School;Reaction_time;Score_in_memory_game;Favourite_physical_activity;Importance_reducing_pollution;Importance_recycling_rubbish;Importance_conserving_water;Importance_saving_energy;Importance_owning_computer;Importance_Internet_access;Left_Footlength_cm;Longer_foot;Index_Fingerlength_mm;Ring_Fingerlength_mm;Longer_Finger_Lefthand;Birth_month;Favorite_Season;Allergies;Vegetarian;Favorite_Food;Beverage;Favorite_School_Subject;Sleep_Hours_Schoolnight;Sleep_Hours_Non_Schoolnight;Home_Occupants;Home_Internet_Access;Communication_With_Friends;Text_Messages_Sent_Yesterday;Text_Messages_Received_Yesterday;Hanging_Out_With_Friends_Hours;Talking_On_Phone_Hours;Doing_Homework_Hours;Doing_Things_With_Family_Hours;Outdoor_Activities_Hours;Video_Games_Hours;Social_Websites_Hours;Texting_Messaging_Hours;Computer_Use_Hours;Watching_TV_Hours;Paid_Work_Hours;Work_At_Home_Hours;Schoolwork_Pressure;Planned_Education_Level;Favorite_Music;Superpower;Preferred_Status;Role_Model_Type;Charity_Donation
USA;CA;2018;9;Male;15.0;Right-Handed;175;23;76;1;Car;25;0.388;33;Other;1000;428.0;754.0;439.0;364.0;369.0;23;Same length;75;80;Ring finger;December;Winter;No;Yes;Meat;Water;Science;5;8;5.0;Yes - broadband connection;Text messaging;2000;2100;35;20;15;20;5;170;150;150;170;0;0;2;Some;Graduate degree;Pop;Telepathy;Healthy;Relative;Health
USA;CA;2016;11;Female;17.0;Right-Handed;164;24;161;2;Car;8;0.396;0.61;Swimming;754;513.0;1000.0;492.0;1000.0;1000.0;24;Same length;70;60;Index finger;February;Fall;Yes;No;Meat;Water;Science;8;9;6.0;Yes - other;In person;4;5;2;0;4;4;2;0;4;3;2;3;0;2;A lot;Other;Country;Super strength;Happy;Relative;Wildlife, animals
USA;CA;2018;8;Female;14.0;Left-Handed;162;22;162;1;Car;15;0.656;52;Swimming;1000;545.0;626.0;374.0;0.0;134.0;21;Right foot;80;75;Index finger;December;Winter;No;No;Pizza/Pasta;Water;History;7;10;4.0;Yes - broadband connection;Cell phone;3;6;5;1;6;9;3;1;0;1;4;2;0;3;A lot;Graduate degree;Pop;Freeze time;Happy;Actor;International aid
USA;CA;2020;12;Female;17.0;Right-Handed;152;21;154;1;Car;20;.316;41;Soccer;600;583.0;733.0;877.0;150.0;583.0;20;Right foot;65;70;Ring finger;September;Fall;No;No;Pizza/Pasta;Water;English;6;9;6.0;Yes - broadband connection;Text messaging;0;0;5;2;4;7;6;14;35;7;70;3;0;7;Some;Other;Pop;Telepathy;Happy;Relative;Education/Youth development
USA;CA;2015;12;Male;17.0;Right-Handed;182;28;188;2;Car;15;.30;30;Soccer;750;700.0;800.0;800.0;900.0;900.0;29;Left foot;8.5;8.2;Index finger;April;Summer;No;No;Meat;Water;Physical education;8;8;5.0;Yes - broadband connection;In person;25;25;15;15;17;8;10;1;2;4;13;3;0;0;A lot;Graduate degree;Rap/Hip hop;Freeze time;Happy;Sports person;Wildlife, animals
USA;CA;2022;12;Female;16.0;Left-Handed;167;17;70;2;Car;4;0.389;46;Dancing;900;900.0;10.0;15.0;10.0;100.0;17;Same length;7;8;Ring finger;March;Spring;Yes;No;Pizza/Pasta;Water;English;9;7;5.0;Yes - other;In person;25;50;10;1;5;5;4;6;6;8;10;7;0;4;A lot;Graduate degree;Pop;Fly;Rich;Relative;Health
USA;CA;2015;12;Male;16.0;Right-Handed;175;25;167;1;Car;25;.481;39;Football (American);500;500.0;700.0;600.0;800.0;900.0;25;Same length;89;83;Index finger;October;Spring;No;No;Rice/Noodle dishes;Water;Mathematics and statistics;6;8;4.0;Yes - broadband connection;In person;100;100;12;0;16;2;13;0;10;4;24;1;0;1;A lot;Graduate degree;Rap/Hip hop;Fly;Rich;Friend;Environment
USA;CA;2016;12;Male;17.0;Right-Handed;175;28;172;2;Bus;120;342;39;Basketball;1000;664.0990990990991;756.2494331065759;657.9519230769231;782.7097505668934;1256.514739229025;29;Same length;85;85;Same length;September;Spring;No;No;Meat;Water;Mathematics and statistics;6;11;1.0;Yes - dial-up connection;In person;25;53;8;0;2;10;7;1;1;.5;1;2;5;5;Very little;Graduate degree;Rap/Hip hop;Freeze time;Happy;Relative;Health
USA;CA;2014;12;Male;17.0;Right-Handed;160;24;150;2;Car;4;.47;2.82;Other;1000;800.0;950.0;900.0;1000.0;1000.0;24;Right foot;70;70;Ring finger;December;Summer;Yes;No;Seafood;Water;Languages;8;12;2.0;Yes - broadband connection;Text messaging;20;30;5;1;7;1;0;0;0;1;10;0;0;1;A lot;Graduate degree;Other;Fly;Rich;Doctor or nurse;Arts, culture, sports
USA;CA;2012;7;Female;13.0;Right-Handed;160;20;159;1;Car;20;0.963;47;Soccer;900;100.0;1000.0;400.0;500.0;1000.0;21;Left foot;7;8;Ring finger;August;Summer;Yes;No;Pizza/Pasta;Juice;Social studies;7;12;5.0;Yes - broadband connection;Myspace, Facebook, other social networking sites, or blog;30;21;5;1;8;9;5;4;7;2;7;1;0;1;A lot;Graduate degree;Other;Telepathy;Healthy;Relative;Health
