Country;Region;DataYear;ClassGrade;Gender;Ageyears;Handed;Height_cm;Footlength_cm;Armspan_cm;Languages_spoken;Travel_to_School;Travel_time_to_School;Reaction_time;Score_in_memory_game;Favourite_physical_activity;Importance_reducing_pollution;Importance_recycling_rubbish;Importance_conserving_water;Importance_saving_energy;Importance_owning_computer;Importance_Internet_access;Left_Footlength_cm;Longer_foot;Index_Fingerlength_mm;Ring_Fingerlength_mm;Longer_Finger_Lefthand;Birth_month;Favorite_Season;Allergies;Vegetarian;Favorite_Food;Beverage;Favorite_School_Subject;Sleep_Hours_Schoolnight;Sleep_Hours_Non_Schoolnight;Home_Occupants;Home_Internet_Access;Communication_With_Friends;Text_Messages_Sent_Yesterday;Text_Messages_Received_Yesterday;Hanging_Out_With_Friends_Hours;Talking_On_Phone_Hours;Doing_Homework_Hours;Doing_Things_With_Family_Hours;Outdoor_Activities_Hours;Video_Games_Hours;Social_Websites_Hours;Texting_Messaging_Hours;Computer_Use_Hours;Watching_TV_Hours;Paid_Work_Hours;Work_At_Home_Hours;Schoolwork_Pressure;Planned_Education_Level;Favorite_Music;Superpower;Preferred_Status;Role_Model_Type;Charity_Donation
USA;AL;2015;12;Male;17;Right-Handed;198;30.48;198;1.5;Car;3;.7;43;Football (American);400;100;200;200;800;800;30.58;Same length;76;79;Ring finger;April;Winter;No;No;No favorite;Water;Art;6;9;4;Yes - broadband connection;Text messaging;600;605;5;2;2;6;1;3;2;5;2;1;22;5;Some;Graduate degree;Country;Freeze time;Happy;Doctor or nurse;Health
USA;AL;2023;12;Male;18;Right-Handed;188;26;178;1;Car;15;.045;52;Golf;700;500;700;600;400;800;26;Same length;7.5;8;Ring finger;October;Spring;No;No;Rice/Noodle dishes;Tea;Physical education;6;9;4;Yes - dial-up connection;Myspace, Facebook, other social networking sites, or blog;4;6;10;2;1;6;7;4;12;3;9;3;15;1;None;Some college;Rap/Hip hop;Freeze time;Rich;Actor;Wildlife, animals
USA;AL;2022;12;Female;17;Right-Handed;165;27;156;2;Car;10;0.6;68;Baseball/Softball;1000;500;500;700;100;400;29;Left foot;70;85;Ring finger;April;Summer;Yes;No;Fruit;Water;Physical education;5;10;5;Yes - broadband connection;Cell phone;50;100;70;30;14;7;60;0;25;60;100;14;30;7;A lot;Graduate degree;Rhythm and blues (R&B);Telepathy;Happy;Relative;Health
USA;AL;2021;12;Female;17;Left-Handed;170,2;25.4;172;1;Car;10; 0.33;54;Athletics;1000;1000;1000;1000;300;400;25.2;Right foot;60;58;Ring finger;June;Spring;No;No;Pizza/Pasta;Juice;Other;6;5;5;Yes - broadband connection;Myspace, Facebook, other social networking sites, or blog;42;50;4;0;20;15;6;0;12;7;20;5;35;5;Some;Graduate degree;Rhythm and blues (R&B);Telepathy;Happy;Relative;Health
USA;AL;2023;12;Male;18;Right-Handed;172;24;175;1;Car;10 m;0.417;75;Football (American);1000;1000;1000;1000;1000;1000;25;Left foot;5;8;Ring finger;January;Winter;Yes;No;Meat;Water;Physical education;7;7;3;Yes - other;Cell phone;40;40;3;30;1;5;5;10;10;1;10;3;4;12;A lot;High school;Gospel;Invisibility;;Business person;Religious
USA;AL;2022;12;Female;17;Right-Handed;164,59;27;142;1;Car;5 min;.87;.59;Dancing;;;;;;;29;Left foot;1.1;1.1;Same length;June;Summer;No;No;Rice/Noodle dishes;Water;Music;5;7;;;;;;;;;;;;;;;;;;;;;;;;
USA;AL;2022;12;Male;18;Right-Handed;177,8;25.4;177,8;1;Car;30;0.302;34;Running/Jogging;900;800;750;800;100;200;25.4;Same length;26;28;Ring finger;December;Summer;No;No;Rice/Noodle dishes;Water;Mathematics and statistics;6;8;8;Yes - broadband connection;Myspace, Facebook, other social networking sites, or blog;15;25;5;1;4;1;12;0;3;1;1;2;2;1;A lot;High school;Rap/Hip hop;Freeze time;Happy;Relative;Religious
USA;AL;2022;12;Female;18;Right-Handed;161,55;55.88;416,5;1;Car;5 min;0.549;38;Gymnastics;412;417;246;572;176;781;55.88;Same length;8;7;Index finger;December;Spring;Yes;No;Meat;Soft drink (caffeinated);Mathematics and statistics;7;10;4;Yes - other;Cell phone;102;2;8;3;3;2;2;0;7;2;9;1;10;0;Some;High school;Country;Telepathy;Healthy;Relative;Health
USA;AL;2022;12;Male;18;Right-Handed;70;25;175;1;Bus;60;0.342;40;None;800;500;800;900;300;300;24;Right foot;80;60;Index finger;October;Summer;Yes;No;Meat;Soft drink (caffeinated);Science;7;9;4;Yes - broadband connection;Myspace, Facebook, other social networking sites, or blog;30;30;0;0;0;2;0;56;12;2;12;0;0;0;Some;Other;Heavy metal;Fly;Happy;Relative;Wildlife, animals
USA;AL;2023;12;Female;17;Right-Handed;177;27.5;60;1;Walk;2;.792;58;Other;1000;800;400;100;45;80;25.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
USA;AL;2018;8;Female;14;Right-Handed;64;15;50;1;Car;20;3;4;Other;4;4;2;4;2;2;50;Same length;2;1;Same length;September;Summer;No;No;Desserts;Tea;Music;8;10;9;Yes - other;E-mail;100;100;1;2;3;7;7;7;7;7;77;7;7;7;A lot;Some college;Country;Fly;Healthy;Relative;Arts, culture, sports
USA;AL;2012;7;Female;12;Right-Handed;149;22;149;2;Car;15;0.326;38;Swimming;400;350;650;;985;965;22;Same length;75;76;Ring finger;July;Spring;No;No;Meat;Juice;Art;8;10;11;Yes - broadband connection;In person;0;0;4;1;7;4;3;6;;;;;;;;;;;;;
USA;AL;2023;12;Male;18;Right-Handed;160;30;160;2;Car;20;20;20;Football (American);0;0;12;12;12;30;35;Left foot;12;13;Index finger;October;Summer;No;No;No favorite;Milk;Social studies;9;8;3;Yes - broadband connection;In person;150;200;5;4;0;3;2;2;22;2;2;2;2;2;Very little;Less than high school;Country;Super strength;Rich;Coach or club leader;Arts, culture, sports
USA;AL;2022;12;Male;17;Right-Handed;183;28;182;1;Car;30;.709;70;Basketball;10;10;10;10;10;10;28;Same length;70;72;Ring finger;June;Summer;No;No;Pizza/Pasta;Water;History;5;10;5;Yes - broadband connection;Cell phone;100;100;15;4;8;5;3;3;15;3;10;2;20;2;A lot;Some college;Country;Invisibility;Happy;Relative;Wildlife, animals
USA;AL;2022;12;Male;17;Ambidextrous;191;28;170;2;Car;9;0.28;42;None;882;433;112;193;1000;1000;28;Same length;80;93;Ring finger;May;Winter;Yes;No;Meat;Milk;Music;5;9;3;Yes - broadband connection;Internet chat or instant messaging;3;7;10;1;20;4;1;43;28;32;48;3;0;2;A lot;High school;Heavy metal;Invisibility;Happy;Friend;Wildlife, animals
USA;AL;2023;12;Female;18;Right-Handed;123,4;23.4;25;3;Car;10;0.842;0.674;Baseball/Softball;5;5;5;5;7;7;23.4;Same length;27;26;Index finger;December;Summer;No;No;Fruit;Water;Art;7;9;3;Yes - broadband connection;Cell phone;300;300;6;6;6;6;6;6;6;6;6;6;6;6;Some;Graduate degree;Rap/Hip hop;Telepathy;Rich;Relative;Other
USA;AL;2023;12;Male;17;Right-Handed;155,45;11;180;1;Car;3 min;0.3;20;Basketball;1000;1000;1000;1000;1000;1000;28;Same length;111/2;111/2;Same length;May;Fall;Yes;No;Meat;Water;Other;7;10;5;Yes - other;Cell phone;5;5;3;8;0;2;;0;4;2;0;0;12;0;Some;High school;Rap/Hip hop;Invisibility;Happy;Sports person;Religious
USA;AL;2023;12;Male;18;Left-Handed;155,45;26;81;2;Car;8;0.30;46;Football (American);700;600;1000;600;500;1000;27;Same length;90;110;Ring finger;November;Summer;No;No;Pizza/Pasta;Water;Physical education;4hrs;6hrs;4;Yes - broadband connection;Text messaging;10;4;3;0;0;1;1;0;1;0;3;2;0;1;A lot;Some college;Rap/Hip hop;Invisibility;Rich;Sports person;Health
USA;AL;2022;12;Female;18;Right-Handed;160;20;54;1;Car;4;0.3;77;Dancing;9;8;9;9;8;9;36;Right foot;8.89;7.62;Ring finger;October;Summer;No;No;Meat;Water;History;6;8;3;Yes - other;Text messaging;20;20;6;10;2;6;4;0;10;10;20;2;42;2;Some;Undergraduate degree;Country;Invisibility;Happy;Business person;Arts, culture, sports
USA;AL;2023;12;Female;17;Right-Handed;177,8;26;179;1;Car;10;0.4;37;Soccer;900;900;900;500;700;900;26;Same length;101;88.9;Index finger;June;Fall;No;No;Fruit;Water;Science;7;7;5;Yes - dial-up connection;Myspace, Facebook, other social networking sites, or blog;7;7;30;20;2;5;40;0;17;1;1;2;20;1;Very little;Graduate degree;Heavy metal;Telepathy;Happy;Doctor or nurse;Health
USA;AL;2013;11;Female;17;Right-Handed;165;21;167;1;Car;15;0.276;33;Other;999;986;999;999;450;450;23;Left foot;60;60;Same length;October;Summer;No;No;Poultry;Soft drink (non-caffeinated);Mathematics and statistics;7;9;5;Yes - broadband connection;Cell phone;500;500;30;30;5;25;9;2;5;10;7;10;10;5;Some;Graduate degree;Country;Telepathy;Happy;Sports person;International aid
USA;AL;2021;12;Female;17;Right-Handed;163,8;23;66;1;Car;10;0.264;37;None;936;845;786;824;1000;1000;25;Left foot;79;75;Index finger;April;Fall;No;No;Pizza/Pasta;Water;Other;6;9;4;Yes - broadband connection;Text messaging;10;6;0;0;46;6;0;0;5;2;40;2;0;3;A lot;Undergraduate degree;Pop;Invisibility;Happy;Actor;International aid
USA;AL;2023;12;Male;18;Right-Handed;182;27;180;1;Walk;15;392;38;None;829;160;294;684;717;759;179;Right foot;5;7;Ring finger;January;Summer;Yes;No;Poultry;Water;Other;5;4;3;Yes - broadband connection;Text messaging;4;7;6;3;0;2;1;5;3;1;4;0;0;0;Very little;High school;Rap/Hip hop;Fly;Happy;Other;Other
USA;AL;2023;12;Male;18;Ambidextrous;182,9;26.67;185,6;1;Bus;20;0.001;100%;Athletics;1000;1000;1000;100;0;100;26.67;Same length;6.35;6.36;Ring finger;November;Winter;No;No;Meat;Sports drink;Physical education;8-sep;0;7;Yes - other;In person;0;120;0;0;1/02/2001;4;8;0;0;24;7;2-mar;0;24;Some;Other;Rap/Hip hop;Super strength;Happy;Relative;Wildlife, animals
USA;AL;2012;7;Female;12;Right-Handed;149;22;149;2;Car;15;0.326;38;Swimming;400;350;650;;985;965;22;Same length;75;76;Ring finger;July;Spring;No;No;Meat;Juice;Art;8;10;11;Yes - broadband connection;In person;0;0;4;1;7;4;3;6;4;2;5;2;1;1;A lot;Other;Classical;Freeze time;Happy;Relative;Health
USA;AL;2015;12;Female;17;Right-Handed;170;27;163;1;Car;15;0.826;46;Baseball/Softball;;;;;;;27;Same length;6.5;7.5;Ring finger;January;Fall;Yes;No;Pizza/Pasta;Soft drink (caffeinated);Science;7;12;4;Yes - broadband connection;Text messaging;500;500;10;1;2;5;15;0;20;80;10;10;0;5;Some;Graduate degree;Country;Telepathy;Healthy;Relative;Health
USA;AL;2015;12;Female;17;Right-Handed;160;27.94;130,4;1;Car;25;.803;55;Walking/Hiking;500;800;1000;600;1000;1000;27.94;Right foot;7;7.5;Ring finger;April;Fall;Yes;No;Seafood;Water;Computers and technology;8;10;3;Yes - broadband connection;Text messaging;200;100;12;2;3;5;6;1;20;15;30;25;0;3;Some;Graduate degree;Pop;Fly;Happy;Relative;Religious
USA;AL;2023;12;Female;18;Right-Handed;;22;156;1;Car;10;0.275;44;Basketball;500;300;500;700;800;900;22.3;Left foot;85;72;Index finger;December;Winter;No;No;Fruit;Water;English;6;8;4;Yes - broadband connection;Cell phone;27;22;0;7;0;10;0;0;2;25m;3;0;16;6;Some;High school;Pop;Super strength;Happy;Relative;Education/Youth development
USA;AL;2021;12;Female;17;Right-Handed;164,59;23;;1;Car;17;0.346;40;Swimming;1000;1000;700;700;800;900;23;Same length;;;Ring finger;April;Summer;No;No;Meat;Water;English;7;10;3;Yes - broadband connection;Internet chat or instant messaging;103;88;2;1;6;1.5;0;0;4;6;4;1;15;1.5;A lot;Graduate degree;Pop;Fly;Rich;Relative;Wildlife, animals
USA;AL;2018;12;Female;17;Right-Handed;162;26;165;1;Car;10;0.404;50;Athletics;50;50;500;50;1000;1000;27;Left foot;110mm;100mm;Index finger;March;Summer;Yes;No;Salads;Energy drink;Art;7;8;4;Yes - broadband connection;Text messaging;300;350;17;28;3.5;14;10;0;56;14;1;0;0;6;Very little;Graduate degree;Rap/Hip hop;Freeze time;Rich;Relative;Arts, culture, sports
USA;AL;2021;12;Female;17;Right-Handed;170,69;9 cm;68;2;Car;12;0.426;33;Dancing;1000;1000;1000;1000;1000;1000;10;Left foot;3mm;3mm;Same length;June;Summer;Yes;No;Desserts;Juice;Physical education;10;11;3;Yes - broadband connection;Text messaging;50;60;12;12;11;12;5;10;2;10;3;10;;5;Some;Graduate degree;Gospel;Telepathy;Rich;Religious figure;Religious
USA;AL;2022;12;Male;18;Right-Handed;177,8;26;176;1;Car;14;0.260;73;Baseball/Softball;2;2;3;3;3;2;26.4;Left foot;83;73;Ring finger;June;Winter;No;No;Meat;Water;Science;8;10;4;Yes - other;Cell phone;30;55;5;1;3;8;12;1;3;1;3;0;0;2;Some;Graduate degree;Rap/Hip hop;Super strength;Happy;Relative;Arts, culture, sports
USA;AL;2022;12;Male;18;Left-Handed;175;10.5;175;1;Car;5;.732;15;Basketball;1000;;;;;;10.5;Same length;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
USA;AL;2023;12;Male;17;Right-Handed;183;29;193;1;Car;10;0.46;57;Football (American);529;353;690;845;460;1000;33;Right foot;40;30;Ring finger;May;Summer;No;No;Pizza/Pasta;Sports drink;Computers and technology;7;5;2;Yes - other;Text messaging;12;20;0;0;0;0;3;10;0;0;0;10;0;0;Some;Graduate degree;Rap/Hip hop;Super strength;Rich;Sports person;Education/Youth development
USA;AL;2015;12;Female;16;Right-Handed;149,9;23;141;2;Car;15;.899;55;Running/Jogging;;;;;;;23;Same length;60;70;Ring finger;March;Summer;No;No;Pizza/Pasta;Water;Computers and technology;6;9;7;Yes - dial-up connection;Cell phone;20;35;3;1;10;4;12;0;1;14;24;1;0;24;Some;Graduate degree;Pop;Fly;Healthy;Sports person;International aid
