Country;Region;DataYear;ClassGrade;Gender;Ageyears;Handed;Height_cm;Footlength_cm;Armspan_cm;Languages_spoken;Travel_to_School;Travel_time_to_School;Reaction_time;Score_in_memory_game;Favourite_physical_activity;Importance_reducing_pollution;Importance_recycling_rubbish;Importance_conserving_water;Importance_saving_energy;Importance_owning_computer;Importance_Internet_access;Left_Footlength_cm;Longer_foot;Index_Fingerlength_mm;Ring_Fingerlength_mm;Longer_Finger_Lefthand;Birth_month;Favorite_Season;Allergies;Vegetarian;Favorite_Food;Beverage;Favorite_School_Subject;Sleep_Hours_Schoolnight;Sleep_Hours_Non_Schoolnight;Home_Occupants;Home_Internet_Access;Communication_With_Friends;Text_Messages_Sent_Yesterday;Text_Messages_Received_Yesterday;Hanging_Out_With_Friends_Hours;Talking_On_Phone_Hours;Doing_Homework_Hours;Doing_Things_With_Family_Hours;Outdoor_Activities_Hours;Video_Games_Hours;Social_Websites_Hours;Texting_Messaging_Hours;Computer_Use_Hours;Watching_TV_Hours;Paid_Work_Hours;Work_At_Home_Hours;Schoolwork_Pressure;Planned_Education_Level;Favorite_Music;Superpower;Preferred_Status;Role_Model_Type;Charity_Donation;;
USA;CA;2019;12;Male;17;Right-Handed;180;26.67;188;1;Car;3;.57;43;Other;956;967;856;655;1000;1000;26.67;Same length;80;80;Same length;December;Summer;No;No;Meat;Water;Computers and technology;6;6.5;3;Yes - other;In person;100;100;20;1;10;5;10;1;1;15;20;2;24;3;Some;Undergraduate degree;Rap/Hip hop;Super strength;Healthy;Relative;Health;;
USA;CA;2012;12;Female;16;Right-Handed;151;24;170,5;1;Car;13;.356;60;Running/Jogging;800;800;500;652;1000;900;23.5;Right foot;93;100;Ring finger;August;Summer;No;No;Meat;Water;History;7;7;4;Yes - broadband connection;Text messaging;20;20;35;1;35;12;5;1;7;1;45;3;0;1;A lot;Other;Other;Freeze time;Happy;Relative;Environment;;
USA;CA;2011;12;Male;17;Right-Handed;187,9;33.0;195,7;1;Car;6;.47;58;Cycling;800;700;400;;500;700;33.0;Same length;17;18;Ring finger;April;Winter;No;No;Poultry;Water;Physical education;8;9;4;Yes - broadband connection;In person;6;11;6;1;8;5;10;8;20;2;20;15;7;4;;;;;;;;;
USA;CA;2018;12;Female;15;Right-Handed;154;0;;2;Car;9;1.593;57;Tennis;700;700;800;900;500;900;0;;65;65;Same length;October;Winter;Yes;No;Pizza/Pasta;Water;Science;7;9;5;Yes - other;Cell phone;200.;300.;8;2;1;9;8;1;9;8;10;0;0;4;Some;Some college;Rap/Hip hop;Freeze time;Healthy;Sports person;Religious;;
USA;CA;2017;12;Male;17;Right-Handed;183;27;177;2;Car;10;.341;36;Basketball;786;807;781;749;950;960;27;Same length;82;96;Ring finger;February;Winter;Yes;No;Rice/Noodle dishes;Water;Computers and technology;7;9;4;Yes - broadband connection;Internet chat or instant messaging;100;70;7;0;2;2;5;4;6;3;4;1;0;0;Some;Graduate degree;Rap/Hip hop;Freeze time;Famous;Sports person;Health;;
USA;CA;2015;11;Male;18;Ambidextrous;173,7;29;60;2;Car;5;.63;89;Baseball/Softball;999;850;900;700;500;1000;29;Same length;;7.9;Index finger;January;Spring;Yes;No;Meat;Water;Computers and technology;7;8;6;Yes - broadband connection;Text messaging;200;230;6;1;1;3;2;3;4;3;1;1;8;3;Some;Graduate degree;Rap/Hip hop;Super strength;Happy;Relative;Wildlife, animals;;
USA;CA;2019;12;Male;17;Right-Handed;163;25;160;2;Car;27;1.42;35;Football (American);900;700;600;600;900;1000;24;Right foot;87;93;Ring finger;December;Winter;No;No;Meat;Water;Physical education;8;10;3;Yes - broadband connection;Myspace, Facebook, other social networking sites, or blog;30;35;15;1;4;5;15;2;60;2;25;1;0;3;A lot;Graduate degree;Rap/Hip hop;Freeze time;Famous;Coach or club leader;Environment;;
USA;CA;2017;11;Male;16;Right-Handed;170;26;96;1;Walk;12;0.266;40;Basketball;850;900;875;975;800;850;26;Same length;8.5;7.5;Index finger;October;Winter;Yes;Yes;Pizza/Pasta;Water;Other;7;10;3;Yes - other;Text messaging;65;40;4;.3;42;4;3;1;7;7;50;2;0;1;A lot;Graduate degree;Rap/Hip hop;Telepathy;Rich;Friend;Environment;;
USA;CA;2013;12;Male;16;Right-Handed;170,1;23;180,3;2;Bus;30;0.878;43;Baseball/Softball;1000;1000;1000;1000;0;1000;23;Same length;0.063;0.057;Index finger;June;Winter;Yes;No;No favorite;Water;Mathematics and statistics;8;12;5;Yes - broadband connection;Myspace, Facebook, other social networking sites, or blog;0;0;21;0;21;15;7;14;14;21;7;14;0;1;Some;Graduate degree;Other;Fly;Happy;Sports person;Health;;
USA;CA;2021;12;Male;17;Right-Handed;185;27;90;2;Car;28;.269;36;Swimming;906;868;832;882;864;910;27;Same length;86;82;Index finger;March;Winter;Yes;No;Breads/Sandwiches;Water;Social studies;6;7;4;Yes - broadband connection;In person;75;100;3;3;10;10;10;1;6;2;25;7;0;4;Some;Graduate degree;Jazz;Telepathy;Healthy;Relative;Health;;
USA;CA;2014;12;Female;17;Right-Handed;170;27.5;162,5;1;Bus;20;1.106;44;Other;900;900;800;600;400;500;27.8;Left foot;172;;;July;Winter;No;No;No favorite;Coffee;Mathematics and statistics;9;;5;Yes - other;In person;0;0;0;1;20;74;1;1;2;0;0;20;0;2;Some;Graduate degree;Other;Telepathy;Happy;Relative;Wildlife, animals;;
USA;CA;2011;7;Male;13;Right-Handed;174;28;180;1;Bus;35;.27;40;Baseball/Softball;250;320;470;;270;340;27;;100;105;Ring finger;September;Winter;No;No;Pizza/Pasta;Water;Physical education;7.5;12.5;;Yes - dial-up connection;Text messaging;100;100;10;0;8;3;15;8;7;25;7;16;0;0;Some;Graduate degree;Pop;Fly;Rich;Business person;Education/Youth development;;
USA;CA;2016;5;Female;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
